epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,32310,1.1401,2.05666,1.12799,1.30851,0.52763,0.53435,0.49198,0.28557,0.75697,0.42748,0.49246,0.27339,1.61154,3.15751,1.85295,1.8625,0.0017921,0.0017921,0.0017921
107,32631.8,1.07838,2.01308,1.06936,1.23786,0.59591,0.42777,0.44583,0.25761,0.66771,0.46565,0.48034,0.25662,1.61397,3.00654,1.91595,1.86829,0.00179012,0.00179012,0.00179012
108,32953,1.12641,2.0382,1.12973,1.27952,0.63898,0.42748,0.47535,0.27596,0.69914,0.46565,0.50316,0.28199,1.60561,3.04897,1.84841,1.85967,0.00178814,0.00178814,0.00178814
109,33273.5,1.07562,2.00629,1.07345,1.25755,0.65118,0.47328,0.51939,0.27834,0.66366,0.46565,0.52275,0.2654,1.65896,3.03415,1.78154,1.91564,0.00178616,0.00178616,0.00178616
110,33601.1,1.08567,2.00495,1.11729,1.24307,0.60537,0.51908,0.49679,0.26725,0.64374,0.48092,0.50641,0.26971,1.61687,2.94992,1.82371,1.96297,0.00178418,0.00178418,0.00178418
111,33934.1,1.13826,2.01293,1.06177,1.32131,0.64926,0.51145,0.5225,0.27409,0.64054,0.50329,0.50249,0.26164,1.73221,3.04113,1.84417,2.00418,0.0017822,0.0017822,0.0017822
112,34263.4,1.10716,2.01588,1.08714,1.24671,0.56397,0.49618,0.4845,0.28994,0.59889,0.5243,0.51061,0.28245,1.56885,2.99835,1.74855,1.83178,0.00178022,0.00178022,0.00178022
113,34597.4,1.03643,1.97719,1.0315,1.21121,0.6031,0.44275,0.45345,0.27338,0.6547,0.48092,0.5021,0.27664,1.6121,3.3755,1.92738,1.8889,0.00177824,0.00177824,0.00177824
114,34931.6,1.0923,1.9683,1.08305,1.26215,0.6007,0.49618,0.49378,0.28414,0.61032,0.50382,0.50732,0.26914,1.6557,3.00815,1.69462,1.90283,0.00177626,0.00177626,0.00177626
115,35262.7,1.06618,1.92418,1.01519,1.23648,0.61249,0.51908,0.50205,0.2459,0.72776,0.42748,0.48619,0.25648,1.72107,3.38301,1.91303,2.01467,0.00177428,0.00177428,0.00177428
116,35592.4,1.05012,2.0707,1.03888,1.23594,0.53513,0.48092,0.43237,0.2408,0.71102,0.45802,0.46929,0.23152,1.66464,3.4733,1.83143,1.93387,0.0017723,0.0017723,0.0017723
117,35922.8,1.12624,2.09441,1.11357,1.30561,0.52065,0.54962,0.49052,0.26973,0.67513,0.4918,0.52768,0.28295,1.6501,3.12008,1.76418,1.91709,0.00177032,0.00177032,0.00177032
118,36262.3,1.07485,2.07516,1.06899,1.27339,0.59771,0.46502,0.46203,0.24438,0.55607,0.51145,0.48381,0.24199,1.62646,2.9684,1.84277,1.90158,0.00176834,0.00176834,0.00176834
119,36599.3,1.08391,2.00506,1.04866,1.2494,0.54393,0.51908,0.49627,0.27283,0.57644,0.50382,0.49246,0.27242,1.65105,3.08458,1.85492,1.97498,0.00176636,0.00176636,0.00176636
120,36936.1,1.1063,1.9682,1.0632,1.25645,0.67583,0.54109,0.5353,0.30942,0.66818,0.53435,0.53548,0.29774,1.56432,2.92239,1.62493,1.87529,0.00176438,0.00176438,0.00176438
121,37265.7,1.04598,2.00044,1.04405,1.2286,0.5818,0.51145,0.50355,0.27851,0.67292,0.49618,0.5299,0.28555,1.6729,2.9467,1.64186,1.9379,0.0017624,0.0017624,0.0017624
122,37599.6,1.01837,1.89929,0.99081,1.20055,0.59073,0.50382,0.48901,0.26,0.59073,0.50382,0.49043,0.24522,1.76905,3.47931,1.78994,2.04525,0.00176042,0.00176042,0.00176042
123,37957.5,1.06857,1.9715,1.02665,1.22934,0.69544,0.49618,0.52387,0.28106,0.65769,0.48855,0.49967,0.26573,1.63644,3.16725,1.85275,1.95167,0.00175844,0.00175844,0.00175844
124,38297.1,1.07731,2.01416,0.99727,1.24626,0.73608,0.43511,0.49535,0.29505,0.73812,0.46565,0.5148,0.28982,1.5405,3.13693,1.73835,1.86228,0.00175646,0.00175646,0.00175646
125,38633.5,1.08489,2.09074,1.06706,1.27778,0.64845,0.49283,0.521,0.30985,0.6384,0.4852,0.51586,0.28493,1.54577,3.00345,1.61123,1.84876,0.00175448,0.00175448,0.00175448
